,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
4136,Beast Agenda 2030,0,5,1,1499,"Action, Adventure, Indie, RPG","Single-player, Steam Achievements, Steam Cloud",,"Nov 26, 2019","Inspired by Escape From New York, Shadowrun SNES and Genesis, Deus Ex and H.P. Lovecraft, Beast Agenda 2030 is a Stealth, Gadgets and Hacking focused Action RPG with optional permadeath that encourages you to use your brain to complete missions in procedurally generated city districts.",0,Ouch Giver Games,903780
4137,Card Battle Spirit Link,0,0,0,999,"Indie, Strategy","Single-player, Multi-player, PvP, Online PvP",,"May 2, 2020","Get ready for a new kind of digital multiplayer card game. No shuffled decks, no random card packs. In Card Battle Spirit Link, strategy is the key!",0,Speedrobo Games,903790
4138,Cash Rush,5,13,7,499,"Casual, Indie, Simulation, Strategy",Single-player,,"Aug 17, 2018","Cash Rush is a Shop Game simulator. Create your business from scratch, use decorations to increase your margin, hire new employee and start making the billions you deserve!",0,Broxilia LTD,903830
4139,Fairy Knights,0,5,0,999,"Action, Adventure, Casual, Indie, RPG, Simulation","Single-player, Steam Achievements, Partial Controller Support",,"Feb 1, 2019",The new dynamic puzzle RPG! Hit the road with cute heroes!,0,WIDStudio,903850
4140,Drying Paint Simulator VR,0,2,5,399,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements, Commentary available",,"Jan 24, 2020","After a long and cold journey, &quot;the artist&quot; has finally arrived at his deserted cabin in the woods. The perfect peaceful place to create his final masterpiece. The artist's Magmum Opis. Drying Paint Simulator VR is the narrated exhilarating story of an artist (you) creating their last painting. A masterpiece.",0,F4DE,903880
4141,Brigador Killers,0,0,0,,"Action, Indie","Single-player, Steam Achievements, Full controller support, Includes level editor",,,"BRIGADOR KILLERS is an intense story-driven isometric action game. Can a secret hit team of Solo Nobreans get revenge on the traitors deep in enemy territory, and still get out alive? The mercenary violence of BRIGADOR (2016) spills over onto a new planet, with revised controls and an all-new storyline.",0,"Stellar Jockeys, Gausswerks",903930
4142,American University Life ~Welcome Week!~,0,2,3,499,"Casual, Indie","Single-player, Partial Controller Support",,"Aug 1, 2018","Take the role of first year student Skye in his first week of college on a remote getaway. Meet his four other roommates as they learn to live together, set boundaries, and engage in their lifestyle.",17,Jammin' Rabbit,904050
4143,Soter,0,0,0,599,"Casual, Indie, Simulation, Strategy","Single-player, Steam Leaderboards",,"Feb 27, 2021",Play the role of a planet trying to keep the few humans who remain alive as you travel through an asteroid field in this simulator inspired by the classic Maxis game Sim Earth.,0,Jethro Tull,903310
4144,Pixel Fishies,0,0,0,299,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together",,"Dec 16, 2018","Lead a school of fish to eat food, grow, and destroy! Retro arcade action for 1-16 players.",0,Jim Rogers,903560
4145,Displacement Arcade Game Box,0,0,0,299,"Action, Casual, Indie, Racing","Single-player, Steam Achievements, Steam Leaderboards",,"Jan 18, 2019","The Displacement Arcade Game Box is a collection of 10 wonderful games from multiple genres (but mostly arcade), fully set up for you to compete with your friends in Steam! Challenge your friends to beat your high score, or beat theirs!",0,Displacement Studios,903570
4146,AstroViking,0,6,0,299,"Action, Indie","Single-player, Partial Controller Support",,"Aug 10, 2018",AstroViking is a horde-survival shoot em' up with RPG elements! Forge your own superpowered Viking with 60+ upgrades and take on an endless swarm of aliens!,0,Artii Games LLC,903580
4147,Everyday Baseball VR,0,3,4,1499,"RPG, Simulation, Sports","Single-player, Steam Cloud, Stats",,"Sep 12, 2018",Everyday Baseball VR is a VR baseball game which is based in real baseball. We've been continuously mulling over how to improve convenience without losing realism so that people can easily play our game whether they are familiar with baseball or not.,0,WISECAT,903620
4148,Super Zombie Arcade,0,0,0,299,Simulation,Single-player,,"Oct 5, 2018",Take on the zombie horde in this post apocalyptic crazy adventure. This game gets more and more difficult and crazier zombies spawn when player reach higher levels. Unlock new weapons by reaching higher levels. How many can you kill? How long will you last?,0,Palfrey Games,903640
4149,Serenade of the Sirens,0,2,0,499,"Action, Indie, Early Access","Single-player, Full controller support, Steam Cloud",,"Oct 24, 2018","Serenade of the Sirens is a retro, rogue-lite, dungeon crawler. As a mermaid named Seika, discover the hidden mystery of the underwater cave.",0,Chukobyte,901000
4150,Adventure Portal,0,2,0,499,"Adventure, Indie, RPG, Early Access","Multi-player, PvP, Online PvP, Co-op, Online Co-op",,"Oct 31, 2018",Adventure Portal is a platform that allows players to connect and run their pen and paper role playing campaigns online!,0,Megaslow Studio,901020
4151,Castles of Burgundy,6,50,15,1499,"Casual, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Turn Notifications, Remote Play Together",,"Feb 27, 2019",Stefan Feld's highly decorated board game &quot;The Castles Of Burgundy&quot; by Ravensburger is getting its digital version on Steam! Enjoy against the challenging AI or friends a beautiful digital version of the classic board game!,0,DIGIDICED,903040
4152,FALL ????????????,0,0,1,199,"Adventure, Indie","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud",,"Aug 16, 2018",????????????????????€???????????????????????€??????????????????????????????????€???????????????????????????????????€?????€?????€???????????????????????????????????????????????€??€????????????????????€???????,0,"?????????, Fantasia Studio",903150
4153,Wunderwaffe,0,1,0,299,"Action, Adventure, Indie, Simulation","Multi-player, Shared/Split Screen, Steam Achievements, Remote Play Together",,"Jul 27, 2018","Wunderwaffe - a game of tanks with a view from above. There are three game modes (team battle for killing, each for himself for killing, capturing a flag) in this game. Also the game is on the same computer.",0,GiBar,903160
4154,Privateers,0,3,1,999,"Action, Indie, RPG, Strategy, Early Access",Single-player,,"Apr 18, 2019",Privateers is a roguelite set in a fantasy nautical world. Players are set free into an archipelago where they can become a heroic navy captain or an evil pirate overlord depending on the choices that they make.,0,Monster Tree,903180
4155,Power Gunner,7,19,0,99,"Action, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards",,"May 17, 2019",Gun your way towards survival in this action arcade adventure! Use your fuel supply to find upgrades to your ship and collect more fuel to keep progressing against harder and harder foes! Classic arcade action with a unique control scheme to pilot your ship.,0,Mega Toast Games,900490
4156,Bunny Minesweeper,7,19,2,299,"Casual, Indie, Simulation, Strategy","Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Cloud",,"Aug 10, 2018",Multiplayer in Minesweeper? Yes! Play with your friends or random party in classic Minesweeper or try crazy challenging modes! Fun and hard simultaneously!,0,DillyFrame,900790
4157,Reventure,8,1370,95,799,"Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",,"Jun 4, 2019","The one and only non-linear adventure with 100 different endings. Don't just wishlist me. I'm not that expensive... also, look at those reviews!",0,Pixelatto,900270
4158,Veritas,6,19,5,1299,Adventure,"Single-player, Steam Cloud",,"Feb 12, 2020","Uncover the lies. Free your mind. Veritas is a compact narrative puzzle game that asks: what is truth, and does it even matter?",0,Glitch Games Ltd,900290
4159,King-Dom,0,0,0,299,Strategy,"Multi-player, PvP, Online PvP, Steam Achievements, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor",,"Jul 30, 2018","A two-player online (choose an opponent from your Steam friends list) Chess, in an edgeless landscape called &quot;Kingland&quot;, with upgrades.",0,maddma,900330
4160,Terror,0,4,2,599,"Action, Adventure, Indie",Single-player,,"Oct 2, 2018","What happened with human, who stay in subway... on the all night?",0,Sasha-Toi,900340
4161,Stockpile,5,7,4,699,"Casual, Indie, Strategy","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Turn Notifications, Remote Play Together",,"Sep 21, 2018","Stockpile is an economic, stock-market themed game that's all about insider trading!",0,DIGIDICED,900370
4162,Indian Summer,0,4,0,699,"Casual, Indie, Strategy","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Cross-Platform Multiplayer, Steam Achievements, Steam Turn Notifications, Remote Play Together",,"Nov 20, 2018",Uwe Rosenberg's puzzle follow-up to the smash hit Cottage Garden!,0,DIGIDICED,900380
4163,Algae,0,1,0,199,"Casual, Indie","Single-player, Steam Achievements, Steam Cloud, Stats",,"Aug 21, 2018","A cute 2D puzzler where you take control of imaginatively named 'Algae' - an experimental sentient algae. Use Algae's abilities to clone and morph through mind-bending puzzles, avoiding enemies at every turn to break free from the confines of it's world...",0,Purple Kingdom Games,900390
4164,Sacred Fire,0,0,0,,RPG,"Single-player, Steam Achievements",,2021,"Sacred Fire is a psychological role-playing game. You?€?re a refugee hunted by Rome, your actions compromised by fear and rage. Build up your willpower to control story choices and master battle tactics. Outsmart opponents and gain allies. Wage war or strive for peace. End up a hero or an outcast.",0,Poetic,900400
