,name,steam_review_score,steam_total_positive,steam_total_negative,price_initial,steam_genres,steam_categories,total_recommendations,release_date,short_description,required_age,developers,steam_id
2783,The Quest Giver,0,0,0,,"Indie, RPG, Simulation","Single-player, Steam Achievements",,TBD,"The Quest Giver?€? is a 2D Fantasy guild manager simulation, in which you create your own quests, and then send adventurers out to do them. Experience how much effort it is to create and assign quests, gather the knowledge you need, and to make the decisions adventurers won't.",0,rest.less Games,892570
2784,Mojo: Hanako,0,1,1,0,"Casual, Free to Play, Indie, RPG","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Jul 27, 2018","&quot;Mojo: Hanako?€? is a new version of the famous game ?€?2048?€?, an original approach to this well-known puzzle. Beautiful Hanako will keep you company during the game. The more points you get, the less clothes remain on the girl.",0,L. Stotch,892630
2785,Wagers of War,0,0,0,0,"Free to Play, Indie, Strategy","Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, In-App Purchases",,"Aug 8, 2018","Jump into a competitive battleground as you face off against your opponent in rounds of war. Based on the classic card game War, battle head-to-head as you work to anticipate your opponent?€?s next move while making gains to outsmart them and bring home the victory.",0,Jumb-O-Fun Games Inc,891950
2786,WebbVR: The James Webb Space Telescope Virtual Experience,0,0,0,0,"Casual, Free to Play, Simulation","Single-player, Captions available",,"Oct 31, 2018","Join the James Webb Space Telescope in orbit beyond the Moon and explore the universe from its perspective. Planetary systems are born, galaxies form, and stars emerge from within colorful nebulas?€?all before your eyes.",0,Space Telescope Science Institute,891960
2787,Train Tower Defense,0,0,0,,"Adventure, Strategy",Single-player,,July 2018,"Train Tower Defense is a reverse Tower-Defense game! The thing here is, YOU would need to cross the entire map on your train and destroy the Enemies. Only 7% of the people can do this! Think YOU can do it?",0,WildLabs,891970
2788,Rusty Runner,0,1,0,99,"Adventure, Casual, Indie","Single-player, Steam Achievements",,"Jul 10, 2019",Infinite hardcore 8-bit runner you can play with only one button.,0,Red twice potato,891990
2789,Robots 2 Unknown World,0,3,1,399,"Action, Adventure, Casual, Indie","Single-player, Steam Achievements, Partial Controller Support",,"Jul 13, 2018","You play for the robot Pip, and you need to get out of the planet Narkoland, destroy enemy robots and find your way to Kokostan",0,"Nikita ""Ghost_RUS""",892020
2790,The Searcher Wild West Adventure,0,1,2,99,"Adventure, Casual, Indie, Massively Multiplayer, Simulation","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Steam Achievements, Remote Play Together",,"Jul 12, 2018",This is a Low-poly game in which you need to find all Masson Gold in the wild west. Also in the game there is a multiplayer-co-op (you can play together with a...,0,"Nikita ""Ghost_RUS""",892130
2791,BARE BOOB BRAWLERZ: POWER CLAW,0,3,1,999,"Casual, Indie","Single-player, Full controller support",,"Oct 22, 2019","BBB is a SciFi Nudie Fighter. It features 2 different fighting game modes! This is causal &amp; meant to be taken light heartedly. It's perfect for playing during that down time between your triple A FPS rounds that is causing all those problems in your life. So, take a break... have a fap, X-Migu PLAY is back!",0,X-MiGuPLAY,892160
2792,ShapeSim,0,0,0,0,"Free to Play, Simulation, Animation & Modeling, Design & Illustration, Game Development","Single-player, Includes level editor",,"Aug 6, 2018","Have you ever dreamed of creating virtual worlds? But don't know where to start or overwhelmed by 3d software's screenfuls of buttons and knobs? Try ShapeSim, currently the most easy to use scene builder and world constructor. Simply grab an object/prop and place it to where you like it, and whichever direction you want it to face.",0,ShapeSim,892170
2793,Powernode,0,2,0,199,"Action, Casual, Indie, Simulation",Single-player,,"Feb 27, 2019","A zen puzzle game but also a brainy challenge! Reach the highest score in &quot;Powernode&quot;, a puzzle game that requires planning and organizing skills.",0,Dustyroom,892180
2794,UFO Combat 2000,0,0,0,99,"Indie, Early Access","Single-player, Full controller support",,"Oct 30, 2018",An arcade twin stick shooter,0,Kleberson Toro,892200
2795,GUNGRAVE VR,0,2,1,2499,Action,"Single-player, Steam Achievements, Steam Trading Cards",,"Mar 6, 2019",GUNGRAVE is back! Undead assassin Beyond the Grave returns from a 14-year slumber ready to rumble in VR. Experience this classic series like never before as you step into Grave's boots to tackle waves of enemies and massive bosses with the gunman's legendary arsenal!,13,"IGGYMOB Co.,Ltd",892210
2796,Falling Blocks,0,1,1,99,"Casual, Indie, Strategy","Single-player, Multi-player, Shared/Split Screen, Remote Play Together",,"Jul 13, 2018",Score and survive!,0,Softwaves Mini,891470
2797,Idle Expanse,0,2,0,0,"Casual, Free to Play, Indie, RPG, Strategy","Single-player, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",,"Sep 7, 2020","A sci-fi themed incremental game which allows you to expand your capitalistic empire across the galaxy! Hire mercenaries to pillage alien planets for resources, with the singular goal of making as much money as possible as quickly as possible! Totally not a playful commentary on real Terran society.",0,Lyrical Games LLC,891480
2798,Capsule,7,8,2,299,"Adventure, Casual, Indie",Single-player,,"Nov 15, 2019",Capsule is a challenging VR escape game developed for the HTC Vive and Valve Index.,0,Chris Pow,891490
2799,Love's Sweet Garnish,8,60,4,1299,"Casual, Indie","Single-player, Steam Trading Cards",,"Sep 7, 2018","Amidst the falling cherry blossoms, Asaki wishes to revitalize his grandmother's beloved cafe. With the appearance of Rira and Richer, two girls who wish to work at the cafe, this is the start of a bittersweet story that will intertwine them all.",0,Canvas+Garden,891510
2800,Tranquil Garden,0,0,0,0,"Adventure, Casual, Indie, RPG, Strategy","Single-player, Partial Controller Support",,"Sep 18, 2020","The Character-Driven, Personal Playstyle RPG that places you in control of Juniper, Cedar, and Lily. Meet this world?€?s fun citizens, explore beautiful maps, and bond with your party members through Stat-Boosting Dialogue Prompts to gain abilities and become the Hero this world needs!",0,Glass Robot,891520
2801,Mosaics Galore. Challenging journey,0,4,3,499,Casual,Single-player,,"Nov 25, 2018",Mosaics Galore. Challenging journey. 100 magical mosaics await you!,0,Creobit,891700
2802,Thanksgiving Day Mosaic,0,4,0,499,Casual,Single-player,,"Oct 24, 2018","Pick out a turkey, decorate the house and invite people over! Thanksgiving Day Mosaic has 120 patchwork-style puzzles for all the family!",0,Creobit,891710
2803,Pirate Mosaic Puzzle. Caribbean Treasures,0,7,2,499,Casual,Single-player,,"Aug 3, 2018",Hoist the Jolly Roger and seek out the treasure of the Caribbean sea in Pirate Mosaic Puzzle. 120 new pirate mosaics!,0,Creobit,891720
2804,Devil Engine,8,47,8,1999,Action,"Single-player, Steam Achievements, Full controller support, Steam Cloud, Stats, Steam Leaderboards",,"Feb 20, 2019",A last ditch effort to destroy what was once to be our savior. A final mission to eliminate a disastrous future. A single ship against Earth?€?s entire military. The Andraste is the only hope to defeat...the Devil Engine.,0,Protoculture Games,891790
2805,Astrela Starlight,0,2,0,999,"Adventure, Indie, RPG, Simulation","Single-player, Steam Achievements",,"Apr 10, 2020","Astrela Starlight is a space adventure game where you can play more than 60 quests over 40 star systems. Solve the mystery of Lystran by interacting with NPCs to complete quests, mine, build spacecraft and stations, build and move planets, and build the Ecxos planetary station.",0,Master Plan Multimedia,891850
2806,Riddles of the Owls Kingdom,0,0,0,0,"Casual, Free to Play, Indie","Single-player, In-App Purchases",,"Sep 13, 2018",200 fun levels that players of all ages will enjoy!,0,DigiMight,891860
2807,King of Phoenix,6,7,3,499,"Casual, Simulation","Single-player, Steam Achievements",,"Sep 27, 2018","King of Phoenix is a comedic adult harem dating sim set in sunny Phoenix, Arizona. Play as Dan Miller, a British journalist who is forced to take a layover in Phoenix and meets a couple of very lovely ladies there. What treasures lie in wait for him in this city? Money? Friendship? Passion? Waifus?",0,King Key Games,891870
2808,Pool 2D - Poolians,0,0,0,0,"Casual, Free to Play, Indie, Massively Multiplayer, Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, In-App Purchases",,"Dec 10, 2019","Pool 2D is a free pool game including 8-ball,9-ball,15-ball,3-ball,rotation and blackjack. The graphics are spectacular and the physics are realistic and accurate. Whether you play against the computer or against real players from all over the world online, the action is smooth and fast paced!",0,Poolians.com,891040
2809,Deplau,0,2,1,499,"Action, Indie, Early Access",Single-player,,"Jul 27, 2018","Deplau is a gesture based single player VR action/adventure game where you are a sorcerer trying to reclaim stolen magic. Discover the island of Deplau, evade traps, solve puzzles, fight monsters and take back what's yours.",0,Zirasoft,891050
2810,Ray of Light,0,3,4,299,Indie,"Single-player, Steam Achievements",,"Jul 12, 2018","Ray of Light is a horror game with awesome graphics, perfect sound and unexpected twists of plot. This game never lets you get bored.",0,SAFING,891100
2811,Hell Knights,0,4,0,299,"Action, Indie","Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op",,"Jul 25, 2018","Hell Knights is a small but fun Bullet Hell Shoot'em Up with a four player Co op mode. Made by some Indie dude, living in a dungeon.",0,David Seifers,891110
2812,Watching Delusion,0,2,3,99,"Casual, Indie",Single-player,,"Aug 3, 2018",Watching Delusion is a grotesque puzzle game where you have to open all of the &quot;eyes&quot; on the map.,0,GooDGooN,891120
2813,SUPER FLAIL,0,0,0,99,"Action, Casual, Free to Play, Indie","Single-player, Steam Achievements, Full controller support, Steam Leaderboards",,"Aug 3, 2018",SUPER FLAIL is a fast-paced arcade score attack game of flail-swinging rampage. Swing your flail to destroy everything until you die. Compare your score with other players and get on the top of the leaderboards.,0,CryptMade,891130
2814,The Witch & The 66 Mushrooms,7,25,2,699,Action,"Single-player, Partial Controller Support, Steam Cloud",,"Nov 7, 2020",An all-new Metroidvania-style game developed using Pixel Game Maker MV! Make use of a variety of weapons as you traverse sprawling stages on a mission to take back your brother's body from the witch who stole it!,0,"Gotcha Gotcha Games, KADOKAWA",891170
2815,PINPIN BALLBALL,0,0,0,0,Action,"Single-player, Full controller support",,"Nov 1, 2018",Check out this new pinball game created with Pixel Game Maker MV! Use the left and right flippers to send the ball flying as you compete for the highest score!,0,KADOKAWA CORPORATION,891180
2816,CROSS X CARROT,0,0,0,0,"Action, Casual, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Full controller support, Remote Play Together",,"Oct 30, 2018",Check out this new multiplayer battle game created with Pixel Game Maker MV! Switch between a Rabbit and a Person as you use carrot bombs to knock your opponent out and get knocked out yourself in this party-style battle game.,0,KADOKAWA CORPORATION,891190
2817,Bike Dash Excite!,0,0,0,0,"Action, Casual",Single-player,,"Jul 9, 2018",Check out this simple motorcycle racing minigame created with Pixel Game Maker MV! Tame your wild and jacked-up bike to fly through the various stages and rub your awesome clear times in your opponents?€? faces!,0,KADOKAWA CORPORATION,891200
2818,pla_toon,0,1,0,0,"Action, Free to Play, Indie, Early Access","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Remote Play Together",,"Aug 13, 2018","pla_toon is an action-packed, first-and-third-person, multiplayer, light-hearted, cartoon-style shooter where you as play a soldier. Join the multiplayer battle and be the first to a para-crate drop to equip your player with powerful weapons! Or get on an ostrich and ride off into the sunset...",0,SoundAndFuryGames,891220
2819,Hentai Defense,5,6,4,99,Indie,Single-player,,"Sep 25, 2018",This game is a casual words game where you need to type the word.,0,Hentai.US,891240
2820,Draft Day Sports: Pro Golf,0,2,4,999,"Indie, Simulation, Sports",Single-player,,"Jul 24, 2018",Prepare for your journey to becoming one of golf's all-time greats in this career based golf game. Choose one of six tours to start on and develop your golfer as you battle the rest of the tour for the tournament cup chases or just to stay alive on the tour without going broke!,0,Wolverine Studios,891270
2821,Easy Racing,0,1,0,299,"Casual, Indie, Racing","Single-player, Steam Achievements",,"Dec 17, 2018",How far can you go?,0,Adeeemmm,891290
2822,Medical verdict,5,4,6,499,"Casual, Indie, Simulation","Steam Achievements, Stats, Steam Leaderboards",,"Oct 1, 2018","Here is a fun simulator of passing a medical examination in the Chelyabinsk clinic with realistic graphics and interesting gameplay! Take the coronavirus test! Collect as many virtual health points as you can, but remember ... this is just a game!",0,Volokitin Andrey,891310
2823,Echoes in White,0,4,3,799,Casual,Single-player,,"Oct 17, 2018",Echoes in White ?€? a Relaxation Music Experience from MAGIC HORIZONSEscape from the ?€?mental hamster wheel?€? and leave behind every day stress.Dive into the fantastic visual worlds of Space and the Green Oasis combined with magic binaural electronic and world ethno music.,0,Classic Arts GmbH,891320
2824,Fast Dust,0,0,1,1799,"Indie, Racing","Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support",,"Aug 22, 2018","Fast Dust is a racing game, cars with character, heavily battered but still have some power under the hood. You have 70 racetracks and drive through the forest, canyon and in the old factory town. Get ready for rain, snow, fog and night drive. Discover shortcuts on the road and win!",0,Binary Giants,891330
2825,Roidrekt,0,2,0,399,"Action, Casual, Indie","Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Partial Controller Support, Remote Play Together",,"Feb 28, 2019",Fast-paced arcade action; blast to survive in the dangerous depths of space.,0,Deathbed Ltd,891340
2826,JUST DASH,0,5,1,299,"Action, Adventure, Casual, Indie",Single-player,,"Aug 18, 2018",Can you pass all the chapters? JUST DASH!,0,EncoderX,891350
2827,The Last Hex,8,93,16,1499,"Indie, RPG, Strategy, Early Access","Single-player, Steam Achievements, Steam Cloud",,"May 10, 2019","The dead arise and only you can stand against them. Equip and train your character, grow your arsenal of cards, survive harrowing encounters and prepare for the final showdown with The Lost at ...The Last Hex! A RPG Deckbuilder with Roguelite elements.",0,That Indie Studio,891370
2828,Retro Snake Adventures,0,1,1,199,"Action, Adventure, Casual, Indie, Simulation, Strategy","Single-player, Steam Achievements",,"Aug 21, 2018","It's a unique twist on the Classic Snake Game. It's kinda like snake, but adventure mode. Collect keys to get through doors, but watch out for your tail and walls.",0,JoHo,891380
2829,Rogue Heist,0,0,0,,"Action, Free to Play, Indie, Early Access","Multi-player, PvP, Online PvP, In-App Purchases",,"Aug 21, 2019",Rogue Heist is a fresh take on Heist; what happens when both the sides are eyeing the same prize. A 6v6 multiplayer game where are you are sent in with your team to steal and outrun an opponent at the same time.,0,Lifelike Studios,891430
2830,Mischief On Main Street,0,0,0,,"Action, Indie, Early Access","Multi-player, PvP, Online PvP, Steam Achievements, Stats, Steam Leaderboards",,July 2018,Lie and bluff your way to victory in this online multiplayer VR game inspired by the likes of Mafia and Trouble in Terrorist Town!,0,Quantum Games,891460
2831,Knight King Assassin,0,6,0,99,"Casual, Indie","Single-player, Steam Achievements",,"Jul 11, 2018",Knight King Assassin is a minimal puzzle game inspired by rock-paper-scissors and chess. Your objective is to clear the board from all the symbols by moving them while taking into account their place in the hierarchy.,0,Niko Kivilahti,890590
2832,Space Agent: 8 Artifacts ,0,0,0,,"Action, Adventure, Indie, Early Access",Single-player,,2021,"Journey through time and space to get for mankind 8 artifacts that hide powerful knowledge. A fascinating story, various levels, many weapons and enemies ?€? the grandiose adventures await you in the game!",0,NGV Studio,890600
2833,Perspectrum,0,1,0,499,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud",,"Aug 9, 2018","Players take the role of the Tall Stranger, a being who has awakened with the power to use ancient fountains to change the elements of the world. The stranger must use spirit fragments scattered throughout the various levels to bring the mountain back to life.",0,ProudMom Games,890630
2834,Rampage of the Dead,0,3,2,199,"Action, Casual, Indie","Single-player, Steam Achievements",,"Jul 20, 2018",Rampage of the Dead is an arcade FPS endless wave shooter! Will you be able to survive the wrath of the enemies or they will take over you? Defend yourself and show them... show them all...,0,Boltok Games,890640
2835,Mars Troopers,0,0,1,599,"Action, Adventure, Indie, RPG",Single-player,,"Jul 21, 2018","Mars Troopers must defeat the enemy to save the universe. Super exciting shooting game, waiting for you to challenge! Action games, Arcade games, Crime games, fight games and for those fans of guns weapon games.20+ Alien Monsters Boss, 9 different alien stars, Waiting for you to conquer.",0,Beyond Games,890680
2836,Forgotten World,0,0,0,0,"Action, Adventure, RPG, Strategy",Single-player,,"Jul 18, 2018","A classic old style game, a strategic turn combat system with incredible magic and a great story! This is Forgotten World! A bounty reward where you have to find these criminals and get something uselfull for your journey. A lot of different demons waits you to reclaim the power of your swords, are you ready to stop them?",0,"Valerio Palma, Cristian Maraglino",890690
2837,Caffeine: Victoria's Legacy,7,11,1,1799,"Adventure, Indie","Single-player, Steam Achievements, Steam Cloud",,"Mar 20, 2020","A choice-rich, fantasy adventure visual novel in a steampunk victorian alternate reality, where coffee is all that matters.",0,Kikai Digital,890700
2838,Ecchi Puzzle,5,12,6,99,"Casual, Indie","Single-player, Steam Achievements, Steam Workshop, Steam Leaderboards",,"Aug 23, 2018",Ecchi Puzzle is a sliding puzzle game.,0,Hentai.US,890710
2839,In Other Waters,8,374,22,1499,"Adventure, Indie","Single-player, Partial Controller Support",,"Apr 3, 2020","Play as an Artificial Intelligence guiding a stranded xenobiologist through a beautiful and mysterious alien ocean. A non-violent sci-fi story, enter a world of wonder, fear and vulnerability, unraveling the history and ecology of an impossible planet. What will you discover together?",0,Jump Over The Age,890720
2840,A Gentlemanly Adventure,0,4,1,299,"Adventure, Casual, Indie, RPG","Single-player, Steam Achievements, Includes level editor",,"Nov 2, 2018","A Gentlemanly Adventure follows the journey of Sir Reginald Cadwaller, who after injuring himself during a hunting accident wakes up in a very different world. Thrust into the dangerous events that are sweeping the land, Reginald must find the strength inside himself to be the hero the people need.",0,Not Chicken Games,890740
2841,Lily's Night Off,8,53,0,799,"Adventure, Simulation","Single-player, Steam Achievements",,"Aug 19, 2018","Lily's Night Off is a visual novel, but not in the typical sense; as you progress in this game, your actions drastically change character personalities, story lines, and lead to unexpected outcomes.",0,Kyuppin,890750
2842,Country Park,0,1,0,99,"Adventure, Simulation, Sports",Single-player,,"Jul 23, 2018",Immerse yourself in an unforgettable world of park simulation! Become the main character who walks around the beautiful country park and get a lot of emotions and impressions. Become the most frequent visitor to the park and learn every millimeter!,0,FG,890800
2843,Valor Time,0,0,0,0,"Action, Free to Play, Massively Multiplayer, RPG","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases",,"Nov 14, 2018",Game ?€?Valor Time?€? representative of the client family Session based multiplayer action RPG (session multiplayer role-playing games) of the medieval WASD non-target management system. The game process supports massive battles.,0,ObjectOnIT,890820
2844,Ilhumia,0,0,0,,"Free to Play, Strategy","Multi-player, Online PvP, In-App Purchases",,"Dec 21, 2018",Enter the world of Ilhumia populated by pretty creatures. Build your deck and fight other players alone or with a friend in this colorful multiplayer card game. But becareful ! Angel the possessed girl rules on this world.,0,Dorian LE THAI BINH,890840
2845,FROSTBITE: Deadly Climate,0,0,0,0,"Violent, Action, Adventure, Indie","Single-player, Steam Achievements",,"Jul 22, 2018","Survive the arctic research base simply known as Base 75, or die from the freezing cold or by the horrors that lurk within the halls?",0,Alex Olinkiewicz,890880
2846,Green With Energy,0,0,0,,"Casual, Indie, Simulation, Early Access","Single-player, Steam Achievements, Steam Cloud, Stats, Steam Leaderboards, Remote Play on Phone, Remote Play on Tablet",,Coming Soon,"Don the yellow hard hat of an engineer and iteratively design, test and build power grid designs. Balance budget, efficiency, and environmental impact, across a variety of biomes and climates. Will you build resilient systems, or cobble something together out of duct tape? It's your choice.",0,Cameron Brown,890890
2847,Whacker Guy: Distance Hunter,0,1,0,499,"Action, Indie, Simulation, Sports","Single-player, Partial Controller Support",,"Aug 30, 2018",Whacker Guy: Distance Hunter is a 3D physics-based baseball batting game set in a beautiful ballpark (Whacker Stadium) with a specific goal - accumulated distance. Total distance is the score. Skill is required to be great and must be learned!,0,Micro Revolution LLC,890900
2848,Kill The Monster,0,1,0,99,"Adventure, Indie, Simulation",Single-player,,"Jul 13, 2018",Thousands of nasty insects have taken over our homes. The only thing we can do is to take up our weapons and destroy...,0,Bon,890910
2849,Glitch,0,0,0,0,"Adventure, Casual, Free to Play, Indie, Strategy",Single-player,,"Jul 18, 2018","Don't you hate it when you are casually walking through the forest when you fall 60 feet into a mysterious world? Well... that's what goes down. And now you, must find a way up.",0,Ekrcoaster,890920
2850,Whiskered Away,0,0,0,0,"Action, Casual, Free to Play, Indie","Multi-player, PvP, Shared/Split Screen PvP, Shared/Split Screen, Partial Controller Support, Remote Play Together",,"Jul 12, 2018",Whiskered Away is a competitive party game where fun-loving cats compete against the god Poseidon. GAME IS ONLY 4 PLAYERS.,0,2cute,890930
2851,Romancing Monarchy,5,9,4,299,RPG,"Single-player, Partial Controller Support",,"Jul 24, 2018","Ascend the throne in a non-linear fantasy JRPG! As the Prince of Achaea, it is your duty to obtain the Mandate of Heaven to continue your family's rule over the kingdom. After assembling a party of four at Ruth's Tavern, you set off to explore the world in search of the Mandate.",0,Rouhana,890940
2852,Oakwood,8,95,19,499,Indie,"Single-player, Steam Achievements, Partial Controller Support",,"Dec 4, 2018","Welcome to Oakwood, a long abandoned campground nestled in the forests of British Columbia. Explore the woods, caves, and a dilapidated lodge in search of your friends, while surviving the prehistoric horrors that now haunt the grounds.",0,"Breaking Dimensions, Polygon Dust Entertainment Ltd.",890970
2853,Handball 21,0,2,7,3999,"Simulation, Sports","Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Shared/Split Screen, Steam Achievements, Full controller support, Steam Cloud, Remote Play Together",,"Nov 12, 2020","Experience the intensity of one of the most complete sports! With accurately reproduced handball motions, the most lifelike players and tactics management deeply integrated into the gameplay, this is the most realistic handball simulation ever made.",0,Eko Software,891020
2854,Shadow Brawlers,7,19,0,1499,"Action, Casual, Indie","Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Remote Play Together",,"Dec 13, 2019","Shadow Brawlers is a local party game in which players control cute, agile ninjas that hide in the shadows. Surprise your opponents by appearing suddenly from the background; attack and disappear.",0,Team Guaz??,890310
2855,Uncharted Waters Online - Steam,0,0,0,0,"Adventure, Free to Play, Massively Multiplayer, RPG, Strategy","Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, In-App Purchases",,"Dec 19, 2018","Discover yourself in the ?€?Age of Discovery?€? where you?€?ll sail out into the uncharted waters! Discover real historical artifacts and mystical legends! Start a company and make enormous fortunes! Fight in fierce sea battles! Whatever your play style, you can play who you want and how you want in UWO!",0,"KOEI TECMO GAMES CO., LTD.",890400
2856,Negative Type,0,0,0,,"Action, Adventure, Indie, Strategy, Early Access","Single-player, Steam Achievements, Partial Controller Support, Steam Cloud",,Fall 2018,"Tasked with a simple search and retrieve mission for a missing scientist, what could go wrong? Nate Byrne asked this question, and the answer was simple; everything could go wrong! Success could lead to the use of a powerful weapon while failure could result in a massive outbreak.",16,ROD Interactive,890410
2857,Slave Master: The Game,0,0,0,599,RPG,"Single-player, Full controller support",,"Nov 17, 2018",Sado Masso is on a twisted quest against hostile entities and to seek out supreme dominance and toxic masculinity.,0,The Black Jester,890470
2858,Widget Satchel,0,4,2,1499,"Action, Adventure, Indie","Single-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on TV",,"Nov 26, 2019","Get widgets, build doohickeys, and do mischief on a space station in the far future as Sprocket the Ferret! Escape your playpen and make your way to the shuttlebay with the most stuff!",0,Noble Robot,890480
2859,Love ritual,5,18,9,1199,"Casual, Indie, Simulation","Single-player, Steam Achievements",,"Apr 9, 2019","Visit a beautiful fantasy city as an occult scientist where a forbidden ritual was performed. Unravel the mystery with your detective skills as the plot thickens around you, and all while two handsome advocates vie for your attention and your heart.",18,Xand arts,890500
2860,"How do you like it, Elon Musk?",7,25,3,1999,"Simulation, Strategy, Early Access","Single-player, Steam Workshop, Steam Cloud",,"Feb 20, 2020",Take part in a Russian space program. Design spacecrafts and send them off to explore the vast expanses of space. Experience the real scale of the Solar system and the size of its celestial bodies.,0,unbeGames,890520
2861,RUMBLE,0,0,0,,"Action, Sports, Early Access","Single-player, Multi-player, PvP, Online PvP",,2021,"You're a beginning martial artist with the power to control stone. By striking poses inspired by real-life fighting sports, you can create attacks out of the earth beneath your feet. Test your skills and creativity in the online PVP arena!",0,Buckethead Entertainment,890550
2862,Almost Alive,5,87,38,1199,"Action, Adventure, Indie, RPG, Strategy, Early Access",Single-player,,"Jul 17, 2018","Almost Alive is redefining the role playing tactical games with an awesome fast paced but complexe real time combat system in a mad hand drawn post apocalyptic world that features character mental sanity, destructible environment, a cover system, tons of loot, a none linear story, and a lot of humor.",0,Emir Cerimovic,890570
2863,Hell Pie,0,0,0,,"Action, Adventure","Single-player, Steam Achievements, Full controller support",,2021,"Hell Pie is a filthy 3d Platformer. Jump, run, swing and fight your way through a variety of open and linear levels. Collect tons of stuff and use Nugget, the chubby angel, to swing around and smash your enemies. Meet deranged characters and find disgusting pie ingredients in a weird, twisted world.",0,Sluggerfly,889910
2864,My Farm,0,0,3,999,"Casual, Simulation",Single-player,,"Aug 23, 2018","You start with just a hen, an empty field and a few pennies. You have to feed your hen, take care of it and improve its living conditions!",0,Bip Media,889970
2865,RGBCELLS,0,0,2,99,"Casual, Indie","Single-player, Steam Achievements",,"Jul 26, 2018","Red + Green = Yellow, Red + Blue = Violet, Green + Blue = Cyan.",0,SC.Wu,889990
2866,Hexile,0,0,0,,Indie,"Single-player, Steam Achievements, Full controller support, Captions available, Steam Cloud",,2018,"Hexile is a first-person, narrative puzzle platformer game tin which players confront the consequences of manipulating their environments.. It takes place in a beautiful, surreal landscape where the player progresses by manipulating the environment to solve puzzles.",0,Dystrophic LLC,890010
2867,Shadow of the Tomb Raider - Black Shadow Band Resource Pack,0,0,0,,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",,"Sep 14, 2018","As Lara Croft races to save the world from a Maya apocalypse, she must become the Tomb Raider she is destined to be.",17,"Eidos-Montr??al, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)",890030
2868,Shadow of the Tomb Raider - Red Shadow Band Resource Pack,0,0,0,,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",,"Sep 14, 2018","As Lara Croft races to save the world from a Maya apocalypse, she must become the Tomb Raider she is destined to be.",17,"Eidos-Montr??al, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)",890031
2869,Shadow of the Tomb Raider - Yellow Shadow Band Resource Pack,0,0,0,,"Action, Adventure","Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",,"Sep 14, 2018","As Lara Croft races to save the world from a Maya apocalypse, she must become the Tomb Raider she is destined to be.",17,"Eidos-Montr??al, Crystal Dynamics, Nixxes, Feral Interactive (Mac), Feral interactive (Linux)",890032
2870,???????????????(?????????) / Fall...in Love (Demo),0,0,0,0,"Adventure, Free to Play",Single-player,,"Jul 26, 2018",&quot;Fall...in Love&quot; is the first love simulation game in Cantonese voice over under the brand Blue Tea College. Characters are based on real-life persons instead of entirely fictional. This is Demo version (chapter0-1). Please help to fill the survey after the demo for the full game making.,0,???????????? Blue Tea College,890070
2871,Deicide,0,0,0,0,"Action, Free to Play, Indie, Early Access","Multi-player, PvP, Online PvP",,"Mar 9, 2019",Deicide is a sci fi/fantasy themed 3rd person team arena brawler featuring fast paced gameplay and unorthodox character designs. Grab two of your friends and play in 3 versus 3 last humanoid standing arena.,0,Golden Epoch Media,890110
2872,Ecchi Cards,5,13,15,499,"Casual, Indie","Single-player, Multi-player, PvP, Online PvP",,"Jul 13, 2018",This game is a casual Cards game where you battle your cards against opponent's deck.,0,Hentai.US,890180
2873,Destruction Paper,0,0,0,99,Action,"Single-player, Multi-player, PvP, Shared/Split Screen PvP, Co-op, Shared/Split Screen Co-op, Full controller support, Remote Play Together",,"Oct 3, 2018",8 levels of run and gun action,0,Lincoln on a Phone Productions,890200
